Date,vader_score,CP
2011-10-26,0.0625,1242.0
2011-10-27,0.0,1284.59
2011-10-28,0.0,1285.09
2011-10-31,-0.26335,1253.3
2011-11-01,0.0,1218.28
2011-11-02,0.0,1237.9
2011-11-03,-0.12040000000000001,1261.15
2011-11-04,0.38915,1253.23
2011-11-07,0.0,1261.12
2011-11-08,0.0,1275.92
2011-11-09,-0.025739999999999996,1229.1
2011-11-10,0.0,1239.7
2011-11-11,0.0,1263.85
2011-11-14,0.28665,1251.78
2011-11-15,0.1591,1257.81
2011-11-17,0.123475,1216.13
2011-11-18,0.15533999999999998,1215.65
2011-11-21,-0.5363,1192.98
2011-11-22,0.38935,1188.04
2011-11-23,-0.032,1161.79
2011-11-25,0.17,1158.67
2011-11-28,0.24003333333333332,1192.55
2011-11-29,0.212225,1195.19
2011-11-30,0.0,1246.96
2011-12-01,0.06743333333333333,1244.58
2011-12-02,0.0,1244.28
2011-12-05,0.025733333333333334,1257.08
2011-12-06,-0.3705,1258.47
2011-12-07,0.04526,1261.01
2011-12-08,0.28564,1234.35
2011-12-09,0.0,1255.19
2011-12-12,0.0,1236.47
2011-12-13,0.07180000000000002,1225.73
2011-12-14,0.12726666666666667,1211.82
2011-12-15,0.0,1215.75
2011-12-16,-0.2269,1219.66
2011-12-19,0.105375,1205.35
2011-12-20,0.0,1241.3
2011-12-21,0.14277499999999999,1243.72
2011-12-22,0.024539999999999985,1254.0
2011-12-23,0.3967,1265.33
2011-12-27,-0.128,1265.43
2011-12-28,-0.06653333333333332,1249.64
2011-12-30,-0.04487499999999999,1257.6
2012-01-03,-0.119175,1277.06
2012-01-04,0.0,1277.3
2012-01-05,-0.24695,1281.06
2012-01-06,0.0,1277.81
2012-01-09,-0.12413333333333333,1280.7
2012-01-10,-0.27115,1292.08
2012-01-11,0.1366,1292.48
2012-01-12,-0.09603333333333335,1295.5
2012-01-13,0.1366,1289.09
2012-01-17,0.1909,1293.67
2012-01-18,-0.23026666666666665,1308.04
2012-01-19,-0.0869,1314.5
2012-01-20,0.0516,1315.38
2012-01-23,-0.0848,1316.0
2012-01-24,0.12040000000000001,1314.65
2012-01-25,-0.2906,1326.06
2012-01-26,0.2553,1318.43
2012-01-27,-0.13396666666666665,1316.33
2012-01-30,0.21075,1313.01
2012-01-31,-0.2159333333333333,1312.41
2012-02-01,0.0,1324.09
2012-02-02,0.29295,1325.54
2012-02-03,0.1753,1344.9
2012-02-06,-0.2732,1344.33
2012-02-07,-0.17,1347.05
2012-02-08,0.0,1349.96
2012-02-09,0.59915,1351.95
2012-02-10,0.0,1342.64
2012-02-13,0.18196666666666664,1351.77
2012-02-14,0.33571666666666666,1350.5
2012-02-15,-0.03558,1343.23
2012-02-16,0.0,1358.04
2012-02-17,0.0,1361.23
2012-02-21,0.31570000000000004,1362.21
2012-02-22,-0.23835,1357.66
2012-02-23,0.0,1363.46
2012-02-24,-0.025300000000000003,1365.74
2012-02-27,0.17,1367.59
2012-02-28,-0.11717999999999999,1372.18
2012-02-29,0.11333333333333334,1365.68
2012-03-01,0.0,1374.09
2012-03-02,0.1763,1369.63
2012-03-05,-0.1304,1364.33
2012-03-06,-0.3477,1343.36
2012-03-07,0.14808000000000002,1352.63
2012-03-08,0.0,1365.91
2012-03-09,-0.13049999999999998,1370.87
2012-03-13,-0.028566666666666702,1395.95
2012-03-14,-0.10606666666666666,1394.28
2012-03-15,0.10115,1402.6
2012-03-16,0.17020000000000002,1404.17
2012-03-19,0.28163333333333335,1409.75
2012-03-20,0.0,1405.52
2012-03-21,0.158,1402.89
2012-03-22,-0.5106,1392.78
2012-03-23,0.007266666666666681,1397.11
2012-03-26,0.2997,1416.51
2012-03-27,0.0,1412.52
2012-03-28,-0.26139999999999997,1405.54
2012-03-29,0.0,1403.28
2012-03-30,0.06336666666666667,1408.47
2012-04-02,0.26335,1419.04
2012-04-03,0.17,1413.38
2012-04-04,0.3022,1398.96
2012-04-05,0.26335,1398.08
2012-04-09,0.5966,1382.2
2012-04-10,0.0,1358.59
2012-04-11,0.23835,1368.71
2012-04-12,-0.18765,1387.57
2012-04-13,0.0365,1370.26
2012-04-16,-0.5363,1369.57
2012-04-17,0.08140000000000003,1390.78
2012-04-18,0.0,1385.14
2012-04-19,-0.18480000000000002,1376.92
2012-04-20,-0.32585,1378.53
2012-04-23,-0.08333333333333333,1366.9399999999998
2012-04-24,-0.00506,1371.97
2012-04-25,0.3404,1390.69
2012-04-27,0.34976,1403.36
2012-04-30,-0.6249,1397.91
2012-05-01,0.1909,1405.82
2012-05-02,0.18964999999999999,1402.31
2012-05-03,-0.0172,1391.57
2012-05-04,-0.20119999999999996,1369.0999999999997
2012-05-07,0.17880000000000004,1369.58
2012-05-08,-0.1806,1363.72
2012-05-09,-0.246525,1354.58
2012-05-10,-0.03515,1357.99
2012-05-11,0.0,1353.39
2012-05-14,-0.09358,1338.35
2012-05-15,0.22225555555555557,1330.66
2012-05-16,0.0,1324.8
2012-05-18,0.0,1295.22
2012-05-21,-0.0903,1315.99
2012-05-22,0.0,1316.63
2012-05-23,0.0,1318.86
2012-05-24,0.0,1320.68
2012-05-25,0.07253333333333335,1317.82
2012-05-29,0.044199999999999996,1332.42
2012-05-31,-0.08927142857142857,1310.33
2012-06-01,0.3661999999999999,1278.04
2012-06-04,0.0,1278.18
2012-06-05,-0.1468,1285.5
2012-06-06,0.26335,1315.13
2012-06-07,0.0,1314.99
2012-06-08,-0.13396666666666665,1325.66
2012-06-11,0.0,1308.93
2012-06-12,0.0,1324.18
2012-06-13,-0.12419999999999999,1314.88
2012-06-14,0.0,1329.1
2012-06-15,-0.12972,1342.84
2012-06-18,-0.19872499999999998,1344.78
2012-06-19,-0.064,1357.98
2012-06-20,-0.09866666666666667,1355.69
2012-06-21,-0.12040000000000001,1325.51
2012-06-22,0.3524,1335.02
2012-06-25,-0.1779,1313.72
2012-06-26,-0.037783333333333335,1319.99
2012-06-27,0.0,1331.85
2012-06-28,0.156225,1329.04
2012-06-29,0.0,1362.16
2012-07-02,0.16375,1365.51
2012-07-03,-0.07024999999999999,1374.0199999999998
2012-07-05,0.0,1367.58
2012-07-06,0.1554,1354.68
2012-07-09,-0.27115,1352.46
2012-07-10,0.26335,1341.47
2012-07-12,-0.3612,1334.76
2012-07-13,0.004900000000000002,1356.78
2012-07-16,0.0,1353.64
2012-07-17,0.101025,1363.67
2012-07-18,0.0,1372.78
2012-07-19,0.26025,1376.51
2012-07-20,-0.35379999999999995,1362.66
2012-07-23,-0.9118,1350.52
2012-07-24,-0.10337142857142857,1338.31
2012-07-25,-0.08333333333333333,1337.89
2012-07-27,0.19440000000000002,1385.97
2012-07-31,-0.4767,1379.32
2012-08-01,0.005733333333333331,1375.32
2012-08-02,0.0700875,1365.0
2012-08-03,0.13221999999999998,1390.99
2012-08-06,0.06743333333333333,1394.2300000000002
2012-08-07,-0.3015666666666667,1401.3499999999997
2012-08-08,-0.14049999999999999,1402.22
2012-08-09,0.0,1402.8
2012-08-10,0.01974999999999999,1405.87
2012-08-13,-0.0772,1404.11
2012-08-14,0.14340000000000003,1403.93
2012-08-15,0.08333333333333333,1405.53
2012-08-16,-0.053000000000000005,1415.51
2012-08-17,0.0,1418.16
2012-08-20,0.01100000000000001,1418.13
2012-08-21,0.37483333333333335,1413.17
2012-08-22,0.1589,1413.49
2012-08-23,0.2202,1402.08
2012-08-24,-0.05135,1411.13
2012-08-27,-0.07852857142857142,1410.44
2012-08-28,0.0,1409.3
2012-08-29,0.0,1410.49
2012-08-30,0.0,1399.48
2012-08-31,-0.08643333333333332,1406.58
2012-09-04,0.09655999999999998,1404.94
2012-09-05,0.0,1403.44
2012-09-07,-0.11333333333333334,1437.92
2012-09-10,-0.17556666666666665,1429.08
2012-09-11,-0.23343333333333335,1433.5600000000002
2012-09-12,-0.09545,1436.56
2012-09-13,0.13396666666666665,1459.99
2012-09-14,0.06767499999999999,1465.77
2012-09-17,-0.7096,1461.19
2012-09-18,-0.24166666666666667,1459.32
2012-09-19,-0.23835,1461.05
2012-09-20,0.07023333333333331,1460.26
2012-09-21,0.00645,1460.15
2012-09-24,0.026399999999999996,1456.89
2012-09-25,-0.0305,1441.59
2012-09-26,-0.07253333333333335,1433.32
2012-09-27,0.2231,1447.15
2012-09-28,-0.017785714285714287,1440.67
2012-10-01,0.0,1444.49
2012-10-02,-0.3286,1445.75
2012-10-03,0.0,1450.99
2012-10-04,0.156225,1461.4
2012-10-05,0.11106666666666666,1460.93
2012-10-08,-0.4767,1455.88
2012-10-09,-0.015728571428571425,1441.48
2012-10-10,-0.375,1432.5600000000002
2012-10-11,0.06743333333333333,1432.84
2012-10-12,0.0129,1428.59
2012-10-15,0.05013333333333333,1440.13
2012-10-16,0.0,1454.92
2012-10-17,0.17048333333333332,1460.91
2012-10-18,-0.36669999999999997,1457.34
2012-10-19,0.0,1433.19
2012-10-22,0.15116000000000002,1433.82
2012-10-23,0.0,1413.11
2012-10-24,0.07391999999999999,1408.75
2012-10-25,0.31845,1412.97
2012-10-26,0.34,1411.94
2012-10-31,0.0,1412.16
2012-11-01,-0.11333333333333334,1427.59
2012-11-02,0.0,1414.2
2012-11-05,0.03423333333333333,1417.26
2012-11-06,0.6369,1428.39
2012-11-07,-0.19886666666666666,1394.53
2012-11-08,0.11205,1377.51
2012-11-09,0.35015,1379.85
2012-11-12,-0.068,1380.03
2012-11-13,-0.4033,1374.53
2012-11-14,0.0,1355.49
2012-11-15,0.0,1353.33
2012-11-16,0.23123333333333332,1359.88
2012-11-19,0.2553,1386.89
2012-11-20,-0.13820000000000002,1387.8100000000002
2012-11-21,0.15969999999999998,1391.03
2012-11-23,0.0086,1409.1500000000003
2012-11-26,0.0,1406.29
2012-11-27,-0.14811999999999997,1398.94
2012-11-28,0.0,1409.93
2012-11-29,0.11585,1415.95
2012-11-30,0.1959,1416.18
2012-12-03,0.23835,1409.46
2012-12-04,0.21918,1407.05
2012-12-05,-0.13935999999999998,1409.28
2012-12-06,0.07224,1413.94
2012-12-07,-0.1434,1418.07
2012-12-10,0.4588,1418.55
2012-12-11,0.04746,1427.84
2012-12-12,0.1101,1428.48
2012-12-13,0.0,1419.45
2012-12-14,-0.23835,1413.58
2012-12-17,-0.4588,1430.36
2012-12-18,-0.05666666666666668,1446.79
2012-12-19,0.0,1435.81
2012-12-20,-0.11067500000000001,1443.69
2012-12-21,-0.099875,1430.15
2012-12-24,-0.6486,1426.66
